region,cement_type,cement_content_kgm3,water_cement_ratio,fly_ash_pct,admixture_type,admixture_dosage_pct,curing_method,curing_temperature_C,curing_duration_hr,element_thickness_mm,element_type,ambient_temperature_C,relative_humidity_pct,season,automation_level,mould_reset_time_hr,strength_gain_time_hr,total_cycle_time_hr,cost_per_cycle_inr
South,OPC53,429,0.38,7,Accelerator,1.4,Ambient,24.759397389878544,21,500,Staircase,28.665283125217435,49.622726156245456,Monsoon,Fully-Auto,3.7,12.64,16.84,3731.45
Central,PSC,443,0.31,18,HRWR,0.75,Ambient,28.495068394328015,22,250,Slab,21.44071082170632,51.5052264157902,Summer,Semi-Auto,3.2,12.06,15.76,4109.6
West,PSC,415,0.4,2,Accelerator,1.45,Steam,61.18738457937188,18,150,Column,24.536685602645,15.0,Monsoon,Manual,0.6,4.0,5.1,3978.15
South,PPC,333,0.36,21,Accelerator,1.32,Accelerated,76.13188879638123,8,250,Slab,40.25675493239745,94.00366723779933,Summer,Manual,0.8,4.0,5.3,3618.95
West,PSC,475,0.5,3,None,0.87,Ambient,26.188072241506756,15,400,Staircase,32.40483641946081,55.49218001261018,Monsoon,Semi-Auto,2.3,27.88,30.68,5621.33
West,PSC,301,0.31,26,Accelerator,1.35,Steam,61.896792930542944,16,300,Column,36.63426353601063,53.78654280206868,Monsoon,Manual,1.5,4.7,6.7,3227.31
Central,PPC,380,0.46,28,Accelerator,0.05,Ambient,24.197853095462996,7,200,Wall Panel,49.51280085735754,59.27846752728594,Monsoon,Semi-Auto,3.6,20.69,24.79,4347.4
North,OPC43,451,0.5,16,Accelerator,0.26,Polythene,31.476423101809985,10,250,Wall Panel,6.670568489987065,77.88743070949367,Winter,Manual,3.7,13.56,17.76,4922.66
Central,OPC43,399,0.3,8,Accelerator,0.71,Accelerated,75.06301152489827,19,500,Column,49.12317639839971,79.17408748584452,Summer,Manual,2.6,4.0,7.1,4100.63
Central,OPC43,338,0.32,9,Retarder,1.99,Steam,70.44099972763672,20,250,Wall Panel,34.045828951175245,71.04914414655764,Summer,Fully-Auto,2.0,7.04,9.54,3500.66
East,OPC43,328,0.32,18,Accelerator,1.73,Steam,60.929643546744316,22,500,Wall Panel,14.05371802230593,92.83373542449044,Winter,Semi-Auto,1.8,4.0,6.3,3165.97
East,PPC,472,0.3,27,Accelerator,1.48,Ambient,29.94267432704114,12,100,Beam,32.28821227923886,85.91223780560486,Winter,Semi-Auto,0.8,5.47,6.77,3648.53
South,PSC,472,0.31,20,None,1.85,Ambient,31.428177649881498,10,250,Beam,29.640401293549296,78.25809716839596,Winter,Semi-Auto,2.9,11.06,14.46,4193.92
East,OPC43,311,0.54,15,Retarder,0.91,Accelerated,70.64145162278292,9,150,Slab,34.272051287313346,70.91712691386086,Summer,Fully-Auto,4.0,7.84,12.34,4089.47
North,OPC43,456,0.33,2,Accelerator,1.9,Polythene,35.62851251764766,10,500,Wall Panel,33.40291544034903,52.35401112115075,Monsoon,Semi-Auto,1.1,7.87,9.47,3882.17
South,OPC43,310,0.45,24,Retarder,1.68,Accelerated,74.65638046424215,8,500,Wall Panel,38.18908155986731,80.13685377011272,Summer,Fully-Auto,2.4,9.89,12.79,4547.3
North,PPC,472,0.45,29,Retarder,1.51,Ambient,29.868549797042498,7,250,Slab,-16.738030563638674,49.63473876100974,Winter,Semi-Auto,3.5,25.76,29.76,5488.28
East,PSC,346,0.41,4,Accelerator,1.41,Polythene,28.69904901968446,7,400,Slab,25.261530891004806,59.22952275481319,Winter,Manual,3.0,19.74,23.24,4812.38
West,OPC53,350,0.47,28,None,1.85,Ambient,33.88391041589091,15,100,Column,22.814713036225914,69.1183041448517,Monsoon,Semi-Auto,1.3,18.4,20.2,3907.47
West,PPC,395,0.42,28,Retarder,1.2,Ambient,29.84831996205925,23,250,Slab,30.770208116002365,42.85939280090884,Monsoon,Fully-Auto,1.0,27.38,28.88,3822.78
South,OPC43,355,0.52,15,None,0.55,Steam,61.51902492419208,6,100,Beam,29.34749426194736,66.3627263903298,Winter,Fully-Auto,1.3,7.84,9.64,3829.34
South,OPC53,486,0.36,6,Accelerator,1.69,Steam,63.925372398527664,20,100,Staircase,36.50931718508944,78.89882203703594,Summer,Manual,1.6,4.0,6.1,4487.42
East,OPC53,410,0.45,21,Accelerator,1.49,Steam,67.64491927084835,22,250,Beam,15.815390088957175,66.36961402991304,Monsoon,Semi-Auto,1.4,4.0,5.9,3699.47
North,OPC53,320,0.34,22,HRWR,1.7,Ambient,28.52189898750871,16,250,Wall Panel,35.894463366909136,90.90329113277926,Monsoon,Fully-Auto,2.4,15.91,18.81,2820.25
West,OPC53,417,0.48,19,HRWR,0.48,Ambient,29.630080577139804,20,100,Slab,33.29221890474133,47.770159247768845,Monsoon,Manual,2.2,15.42,18.12,4782.05
South,OPC43,450,0.44,1,HRWR,1.62,Polythene,32.507076336195425,22,100,Beam,26.351465726711908,98.0,Winter,Manual,3.8,11.93,16.23,4696.46
North,PPC,334,0.53,21,None,1.56,Ambient,26.18804443985254,16,100,Staircase,19.14872531113008,46.34883624360758,Summer,Manual,1.3,33.6,35.4,6408.03
North,OPC43,445,0.5,6,Accelerator,1.8,Accelerated,77.12377310090902,20,100,Wall Panel,51.501406310394174,30.789976818612633,Monsoon,Semi-Auto,3.7,4.0,8.2,4230.81
East,PSC,341,0.33,14,Retarder,0.99,Steam,65.8608237836729,12,200,Column,35.76062222330981,88.64927658968693,Summer,Manual,2.5,7.78,10.78,4286.75
North,OPC43,458,0.39,12,None,0.79,Ambient,26.667120219771665,20,250,Column,29.527605916538228,81.60877126538166,Monsoon,Manual,1.7,16.63,18.83,5130.34
South,PSC,440,0.33,17,Accelerator,0.04,Accelerated,79.48813293446754,16,250,Column,40.910818092680394,83.85411928592683,Summer,Semi-Auto,1.0,4.0,5.5,4268.15
East,PSC,340,0.53,22,None,0.47,Steam,63.79264667411949,6,500,Beam,24.566895719459275,59.69042444342217,Summer,Semi-Auto,1.2,13.07,14.77,5026.71
East,OPC43,389,0.53,1,HRWR,0.96,Polythene,33.956515863272315,22,200,Beam,18.99664793802489,78.21155999924564,Summer,Semi-Auto,2.0,19.35,21.85,4420.89
East,PSC,413,0.47,6,Retarder,0.92,Steam,68.32197168873084,13,100,Wall Panel,29.407653257769955,69.54962422824406,Winter,Manual,3.6,6.98,11.08,4556.19
Central,PSC,467,0.45,0,Accelerator,0.91,Polythene,28.359423176278824,7,400,Column,24.36233557876965,15.0,Winter,Manual,1.1,13.45,15.05,4932.68
South,PPC,354,0.34,17,Retarder,0.82,Polythene,25.132429109406743,13,400,Wall Panel,33.70494176138567,67.1321960058034,Summer,Semi-Auto,3.0,28.74,32.24,4998.18
West,OPC53,441,0.37,15,None,1.27,Accelerated,76.26097376155356,6,500,Staircase,21.6417666234528,80.29373868525437,Monsoon,Fully-Auto,2.7,4.0,7.2,4049.63
East,PSC,319,0.46,5,Accelerator,0.73,Polythene,28.89908040335885,17,100,Slab,31.779173142714864,83.41367107003448,Winter,Fully-Auto,2.0,18.55,21.05,3187.32
North,PPC,303,0.33,28,None,0.54,Ambient,30.016771853241316,16,400,Slab,41.160951743691946,57.535863193609394,Summer,Manual,2.4,24.62,27.52,5107.08
Central,OPC43,326,0.53,5,Accelerator,0.5,Ambient,27.70341136886435,15,300,Wall Panel,52.97958975997083,26.864263836030382,Monsoon,Semi-Auto,1.7,21.9,24.1,4049.64
Central,PSC,310,0.39,16,Accelerator,1.22,Polythene,29.33237558348658,7,500,Staircase,12.45213159424766,57.76990838266994,Winter,Manual,2.6,20.19,23.29,4679.17
Central,OPC43,453,0.42,8,None,1.46,Ambient,33.92508206089234,15,100,Beam,29.52735347370991,68.99527716201798,Winter,Manual,2.6,13.49,16.59,4787.1
East,OPC43,373,0.47,16,None,1.08,Accelerated,74.25744409334548,13,500,Staircase,34.43842542987044,91.16304015144249,Monsoon,Fully-Auto,3.7,6.91,11.11,4342.09
North,PPC,331,0.48,6,Retarder,1.11,Accelerated,69.14253938096795,20,300,Wall Panel,21.646011210399514,51.14440425522784,Winter,Fully-Auto,2.2,8.98,11.68,4492.9
South,PPC,316,0.46,23,None,0.24,Polythene,30.089268418487237,7,200,Staircase,19.3533128003767,94.47266561752045,Winter,Manual,1.6,27.41,29.51,5651.26
North,OPC43,315,0.41,11,None,0.05,Steam,65.24685196782627,8,200,Column,37.78576450078421,54.514454402161164,Winter,Manual,0.8,6.2,7.5,3707.25
North,PPC,472,0.39,29,Retarder,1.43,Ambient,21.744347069303686,10,100,Wall Panel,22.059164580203962,37.33685509807046,Winter,Fully-Auto,3.3,21.37,25.17,4151.07
East,OPC53,452,0.49,3,None,1.89,Accelerated,78.5013087431509,18,400,Slab,40.96886846230172,78.46146168685867,Summer,Manual,3.2,4.0,7.7,4461.92
North,PSC,421,0.43,26,HRWR,1.52,Polythene,29.495655313124118,22,200,Beam,16.53747116404263,40.92759874147107,Winter,Manual,3.6,17.87,21.97,5268.47
East,OPC43,436,0.31,1,Retarder,1.62,Ambient,29.97563281801849,7,250,Beam,44.0816363101308,79.60247632551443,Monsoon,Fully-Auto,0.9,14.87,16.27,3727.67
East,OPC53,339,0.44,12,Accelerator,1.04,Ambient,28.107683649303098,21,250,Wall Panel,25.870099742708337,76.77636729935236,Summer,Fully-Auto,2.9,16.2,19.6,3115.28
West,PPC,344,0.52,18,Retarder,0.01,Ambient,26.374302626834357,12,500,Slab,40.11112836749419,53.365051095720005,Summer,Manual,1.2,52.72,54.42,8721.84
North,PPC,397,0.46,23,Accelerator,0.26,Steam,63.2153291087913,12,150,Wall Panel,23.856453611356574,60.58043051540678,Winter,Fully-Auto,0.9,4.9,6.3,3588.14
South,PSC,316,0.49,16,Accelerator,0.69,Accelerated,73.55960439691245,23,400,Staircase,32.63901348683391,98.0,Summer,Manual,0.7,4.89,6.09,3765.31
East,PPC,325,0.34,1,Retarder,0.85,Ambient,31.38025957577861,18,100,Staircase,19.830137462954294,88.50027736759225,Monsoon,Fully-Auto,1.3,24.17,25.97,3267.95
Central,OPC53,446,0.37,2,HRWR,0.64,Steam,67.82649951549149,8,100,Wall Panel,38.6009638414307,69.04359832542741,Winter,Fully-Auto,1.1,4.13,5.73,3814.55
East,PSC,498,0.46,11,None,1.84,Steam,66.37025965746135,8,250,Wall Panel,16.590995738645624,87.27398108733748,Summer,Manual,2.2,5.39,8.09,4791.46
Central,PSC,438,0.55,16,None,0.14,Polythene,28.64308104225277,11,200,Staircase,5.761206733710434,64.64394585816119,Winter,Manual,1.3,27.0,28.8,6563.69
West,PSC,459,0.54,0,HRWR,0.18,Ambient,27.932190731665543,18,400,Wall Panel,31.231134621578406,66.50248550434577,Winter,Manual,2.5,29.14,32.14,6745.29
South,PSC,348,0.54,28,Accelerator,0.06,Ambient,33.435940372404616,13,150,Column,33.78962864345884,66.30805088894894,Winter,Semi-Auto,2.8,21.69,24.99,4279.92
South,PPC,340,0.34,13,None,0.12,Polythene,33.51671774027518,17,300,Wall Panel,30.3982634590284,81.36248919602875,Winter,Semi-Auto,3.1,17.25,20.85,3900.83
East,OPC53,445,0.46,4,Retarder,1.95,Ambient,24.616518338496082,8,300,Staircase,32.51421910421389,63.86377489707279,Winter,Semi-Auto,3.5,25.21,29.21,5221.71
West,PSC,407,0.49,27,None,1.73,Steam,67.61947564585745,14,250,Slab,34.15686459650139,80.61658425933285,Monsoon,Semi-Auto,3.3,6.9,10.7,4195.07
East,PSC,320,0.48,2,Accelerator,0.81,Steam,69.97984280817586,19,400,Slab,38.20515586100619,83.88560153127135,Summer,Semi-Auto,0.8,6.56,7.86,3645.52
North,PPC,369,0.46,24,Retarder,0.52,Steam,60.06267041145404,10,300,Wall Panel,19.3875855842573,61.930077634614314,Summer,Manual,1.3,10.83,12.63,5241.29
South,PSC,393,0.34,4,None,1.23,Polythene,27.484837526646345,16,300,Staircase,34.603322102671044,97.42032863046569,Winter,Fully-Auto,1.2,17.67,19.37,3553.88
South,OPC43,319,0.31,0,None,0.9,Ambient,26.347155656603718,10,100,Wall Panel,40.578780040031226,86.57822992553147,Summer,Semi-Auto,2.9,17.27,20.67,3648.75
East,PSC,337,0.33,29,HRWR,1.41,Polythene,31.83832171518771,23,300,Wall Panel,19.57267549461075,71.35051497276274,Monsoon,Fully-Auto,1.1,17.52,19.12,3214.82
South,OPC53,413,0.36,25,Retarder,1.14,Polythene,31.487045663917815,17,200,Wall Panel,37.52762966478992,92.8054545834057,Winter,Fully-Auto,3.4,15.08,18.98,3684.06
West,PSC,497,0.38,0,HRWR,1.74,Ambient,29.021800057299576,14,200,Column,46.481452393520414,69.46380210853317,Monsoon,Semi-Auto,3.7,12.26,16.46,4485.23
Central,PSC,353,0.46,20,HRWR,0.73,Steam,67.25862703284191,12,500,Staircase,38.748344382691315,21.174348395405886,Summer,Manual,1.8,9.96,12.26,4925.63
South,OPC43,302,0.44,7,HRWR,0.96,Steam,60.83128259970921,10,500,Column,23.773006265215542,38.75322352181266,Winter,Fully-Auto,3.0,8.18,11.68,3474.95
North,PPC,314,0.35,12,HRWR,0.2,Steam,65.84357427190812,9,300,Column,31.26902335939078,59.1368770399305,Winter,Semi-Auto,0.8,5.58,6.88,3394.6
Central,OPC43,393,0.35,11,None,1.05,Polythene,28.19589706814636,15,300,Slab,33.19781934142537,57.410776123584654,Monsoon,Fully-Auto,2.4,15.8,18.7,3489.03
East,OPC53,417,0.43,27,None,0.42,Ambient,26.71178337662424,15,150,Wall Panel,18.049094116869718,71.68513762644912,Summer,Manual,3.1,17.04,20.64,5017.42
North,PSC,482,0.45,14,None,1.74,Ambient,35.40415654668948,21,300,Beam,2.2937890141159976,74.27758233589819,Monsoon,Manual,2.7,18.83,22.03,5709.2
South,OPC53,424,0.48,16,None,0.68,Polythene,25.351406191264466,19,200,Column,34.84491539592638,98.0,Winter,Fully-Auto,1.4,19.66,21.56,3952.73
North,PPC,369,0.39,3,HRWR,1.66,Ambient,26.437258541989944,13,400,Slab,27.465143155257632,33.0943309580701,Monsoon,Manual,2.8,24.19,27.49,5599.79
West,PSC,485,0.54,12,Accelerator,1.51,Ambient,29.257057028098135,21,150,Wall Panel,16.315418206666976,35.01405520856005,Winter,Manual,1.0,17.59,19.09,5549.51
Central,OPC53,499,0.49,0,Accelerator,1.01,Ambient,27.12758175956789,18,150,Wall Panel,25.921769139314556,26.948303284140664,Monsoon,Semi-Auto,2.6,11.15,14.25,4451.93
East,PSC,400,0.4,11,Retarder,0.23,Polythene,30.093800631746024,23,300,Beam,30.98447148256509,98.0,Monsoon,Fully-Auto,3.3,25.47,29.27,3938.75
Central,PPC,429,0.36,13,Retarder,1.28,Ambient,27.324560417949936,6,250,Wall Panel,31.975789220514077,85.02373588231164,Summer,Manual,3.8,21.85,26.15,5677.69
South,OPC53,495,0.33,3,None,1.55,Ambient,30.993438154792084,18,500,Column,27.303323030906228,72.83868666417577,Monsoon,Manual,0.6,6.64,7.74,4363.51
East,OPC53,309,0.35,29,Retarder,0.12,Polythene,28.309052917720972,14,250,Beam,24.712550749606528,86.58235830241729,Summer,Semi-Auto,4.0,21.51,26.01,4015.23
West,PSC,423,0.51,17,None,1.77,Ambient,31.571938824359023,8,500,Beam,44.662474467688014,38.66699941477544,Summer,Manual,3.9,29.75,34.15,6549.5
Central,PPC,448,0.49,25,None,1.24,Ambient,30.80571448419888,18,300,Staircase,25.062294222515007,42.106087805240534,Winter,Semi-Auto,3.5,22.97,26.97,5000.27
West,PSC,381,0.42,8,Accelerator,1.72,Accelerated,72.20019612278041,15,300,Slab,29.647418090720667,65.79809374792153,Summer,Fully-Auto,0.8,4.02,5.32,3655.22
West,PSC,333,0.4,21,Accelerator,1.23,Steam,65.0960124471973,10,250,Wall Panel,28.972657037230533,32.91321856873377,Summer,Semi-Auto,2.8,5.21,8.51,3387.79
North,OPC43,357,0.42,3,HRWR,1.55,Accelerated,75.28253832504123,12,200,Column,12.080068785708043,19.42738333580393,Summer,Semi-Auto,3.2,4.85,8.55,3846.78
North,PPC,477,0.3,3,Accelerator,1.55,Accelerated,76.36766331624483,23,150,Staircase,50.98002813881301,53.53862063185854,Monsoon,Semi-Auto,2.5,4.0,7.0,4533.26
West,OPC53,314,0.33,17,None,0.74,Ambient,29.780287519580828,19,250,Slab,39.63554058293809,47.953986504535536,Monsoon,Fully-Auto,2.9,16.35,19.75,2863.31
Central,PSC,418,0.52,11,Retarder,0.5,Ambient,27.25392662144936,13,400,Column,46.07345576019993,57.354021920452695,Monsoon,Fully-Auto,3.8,42.75,47.05,4666.29
East,PPC,450,0.51,12,HRWR,1.52,Accelerated,73.04592931862452,6,200,Beam,36.015618142334134,82.46032024474255,Summer,Manual,2.1,4.46,7.06,4567.55
South,OPC43,309,0.49,13,Accelerator,0.38,Steam,68.58989445993696,9,400,Slab,28.95108547840309,63.2265253037664,Monsoon,Fully-Auto,2.9,6.65,10.05,3263.8
East,PSC,410,0.41,19,Accelerator,0.43,Accelerated,76.42585676795967,10,400,Staircase,24.670447978158876,65.83061524819593,Summer,Semi-Auto,2.2,4.0,6.7,4008.04
South,PSC,419,0.45,1,Accelerator,1.2,Polythene,27.022971480375446,18,250,Slab,33.92942191542163,89.21738704255824,Winter,Semi-Auto,1.0,16.68,18.18,4340.21
South,OPC43,346,0.55,27,None,0.35,Polythene,24.400390148780822,11,250,Column,30.25193906611098,78.92494459044718,Monsoon,Fully-Auto,3.1,32.26,35.86,3810.72
South,OPC43,406,0.31,29,Accelerator,1.4,Ambient,26.249762932395612,10,250,Wall Panel,25.49549121742937,85.40783644511882,Monsoon,Semi-Auto,0.7,9.27,10.47,3598.6
West,PSC,457,0.37,9,None,0.52,Steam,62.002061727049586,8,500,Column,26.445995248382737,15.0,Summer,Fully-Auto,0.7,4.86,6.06,3987.6
West,PPC,484,0.39,17,HRWR,0.69,Steam,65.7412321334189,20,500,Staircase,35.69864846332327,42.80901417061593,Monsoon,Semi-Auto,3.9,4.0,8.4,4244.41
South,OPC43,446,0.38,20,Accelerator,0.7,Ambient,24.23713173049225,14,100,Slab,28.963272006172726,98.0,Summer,Fully-Auto,2.5,9.47,12.47,3519.64
South,PPC,468,0.5,16,HRWR,0.16,Polythene,26.78358296404318,10,150,Wall Panel,17.393247582526964,68.27429671419176,Winter,Semi-Auto,2.4,20.65,23.55,5035.64
West,PPC,491,0.5,16,None,0.52,Polythene,27.815991176312597,9,400,Column,23.4309757395187,46.89987502712609,Summer,Semi-Auto,1.1,23.16,24.76,5437.1
North,OPC43,430,0.53,0,HRWR,1.6,Ambient,25.589908611819187,23,200,Beam,-0.5597225069953637,27.85194080427578,Monsoon,Manual,1.7,23.57,25.77,5832.45
North,PSC,403,0.43,27,Accelerator,1.59,Polythene,32.80292923776369,12,200,Staircase,21.813437943778915,64.66850976229206,Monsoon,Manual,1.2,12.59,14.29,4447.8
West,OPC53,318,0.52,11,Accelerator,0.64,Steam,64.97274027582124,18,150,Column,37.42498369273475,27.76159243968354,Summer,Semi-Auto,2.3,5.34,8.14,3332.82
Central,PSC,308,0.5,17,None,1.52,Accelerated,75.9773889497465,16,150,Column,8.781451009914054,49.05920423230022,Monsoon,Fully-Auto,3.6,5.46,9.56,3498.31
West,OPC53,460,0.36,19,Retarder,1.48,Steam,66.34207790657183,21,400,Wall Panel,25.288580954779484,42.93953597205569,Winter,Manual,0.6,5.27,6.37,4493.39
East,PSC,346,0.34,8,Accelerator,1.98,Steam,65.89192893704252,8,250,Slab,12.511077490571028,81.51016363543229,Winter,Manual,3.2,5.35,9.05,3713.56
West,PPC,436,0.5,12,Retarder,1.3,Accelerated,73.86201024048502,19,400,Column,25.890656492232694,25.96299050650752,Winter,Fully-Auto,0.9,7.15,8.55,4769.86
South,OPC53,475,0.48,13,Retarder,1.51,Accelerated,74.72840015308752,14,250,Column,32.19432781024282,77.3147374745038,Summer,Manual,3.4,4.93,8.83,4918.73
Central,PSC,329,0.31,0,HRWR,0.6,Polythene,25.18086898317246,19,400,Wall Panel,37.792340343136075,67.70963332452294,Monsoon,Manual,4.0,21.46,25.96,5023.37
North,PSC,334,0.37,13,Retarder,1.04,Ambient,34.75866064665925,10,250,Staircase,13.871762389713112,59.7673796546957,Summer,Semi-Auto,0.6,26.94,28.04,4522.24
West,PPC,404,0.39,19,HRWR,1.21,Polythene,33.66540165755644,9,500,Column,48.99665044217999,40.078750237401024,Summer,Fully-Auto,1.4,16.4,18.3,3580.07
North,PPC,465,0.32,24,None,0.08,Polythene,24.750066377343607,11,150,Beam,19.84837330579288,41.15158040252288,Summer,Semi-Auto,2.2,9.78,12.48,4201.74
Central,OPC43,440,0.43,16,None,0.44,Polythene,33.253438749219214,22,400,Slab,24.22469906492446,66.79231264973814,Summer,Fully-Auto,1.5,15.89,17.89,3811.48
East,OPC43,338,0.42,10,None,0.9,Polythene,33.99185110652877,19,300,Wall Panel,39.84454444433511,71.48779654476719,Summer,Semi-Auto,2.6,20.31,23.41,4080.39
West,PSC,452,0.46,22,Accelerator,1.66,Steam,67.45589198533969,6,500,Column,25.35997183120778,27.23704208545247,Summer,Manual,0.8,4.72,6.02,4360.48
Central,OPC53,350,0.45,9,HRWR,0.28,Steam,64.49507529811379,14,100,Column,34.516327016495964,40.65181696843584,Summer,Fully-Auto,0.7,4.23,5.43,3136.41
North,PSC,462,0.41,22,Accelerator,0.09,Steam,65.4795691759922,11,250,Staircase,12.667898308888503,42.075453803123935,Winter,Manual,2.4,4.97,7.87,4440.88
West,PPC,494,0.51,14,Accelerator,0.2,Steam,68.15358203295813,16,150,Beam,47.68517194308586,60.59133454480763,Summer,Semi-Auto,2.3,4.24,7.04,4259.11
Central,OPC43,346,0.34,28,HRWR,0.76,Accelerated,76.30927538847924,22,400,Staircase,43.263421979872206,81.99821944271497,Monsoon,Semi-Auto,2.9,4.0,7.4,3552.85
East,OPC43,303,0.32,13,None,0.78,Polythene,26.56000585643729,15,200,Slab,21.29442948792385,74.67658034579536,Summer,Manual,3.7,18.9,23.1,4479.22
West,OPC43,412,0.32,26,Retarder,0.78,Accelerated,70.2873715437945,9,300,Staircase,25.985860248721558,97.65848873859703,Summer,Fully-Auto,3.4,4.0,7.9,3770.02
Central,OPC43,384,0.39,11,None,1.66,Ambient,26.371978600797934,9,200,Wall Panel,19.272569742601934,64.3064435540007,Winter,Manual,3.4,19.85,23.75,5069.76
East,PSC,451,0.46,4,Accelerator,0.3,Accelerated,76.36518341681689,7,200,Staircase,34.0861819973649,73.45464801272308,Monsoon,Fully-Auto,0.9,4.0,5.4,4090.49
South,OPC43,414,0.42,15,None,1.51,Accelerated,77.6195082920804,11,500,Slab,48.27323646577064,56.33312400243249,Monsoon,Fully-Auto,1.9,4.0,6.4,4046.14
South,OPC43,381,0.41,14,Accelerator,1.15,Steam,68.49741805762515,13,200,Beam,30.977725101573878,83.90335083421293,Monsoon,Manual,3.1,4.0,7.6,3760.89
Central,OPC53,468,0.37,23,HRWR,1.59,Polythene,31.380211819042316,8,200,Slab,39.53125045376087,69.23553756175127,Winter,Manual,0.7,9.33,10.53,4407.49
Central,PSC,432,0.51,8,Accelerator,1.69,Ambient,25.69883648028797,14,150,Column,32.11817078974478,47.846791050461135,Winter,Semi-Auto,2.7,19.34,22.54,4694.33
Central,PPC,401,0.37,7,None,1.68,Accelerated,77.0161815572813,21,400,Column,34.47399346466793,46.400939977204416,Winter,Manual,3.5,4.0,8.0,4082.81
East,PPC,352,0.51,16,Accelerator,1.96,Ambient,23.04124390648335,22,500,Slab,37.62490117144644,98.0,Monsoon,Manual,3.0,30.88,34.38,6227.49
West,PPC,307,0.37,22,None,1.76,Ambient,29.516410477499882,7,500,Beam,29.74471519602021,15.0,Summer,Manual,2.3,28.03,30.83,5547.46
South,OPC53,368,0.54,28,Retarder,1.65,Polythene,30.55470245078693,7,250,Column,26.735174607998466,78.93841993502888,Summer,Semi-Auto,1.8,29.25,31.55,5101.61
North,OPC53,456,0.4,26,Accelerator,1.35,Steam,66.38125918832014,20,500,Staircase,36.58476981509405,79.72261443612436,Summer,Manual,1.0,4.0,5.5,4190.67
North,PPC,439,0.55,16,HRWR,1.91,Ambient,19.502441287671374,20,150,Beam,25.202688594909805,44.83719604705378,Summer,Manual,2.4,31.82,34.72,7014.48
North,PPC,353,0.52,0,Accelerator,1.51,Steam,63.13511847789229,18,150,Wall Panel,29.516914313170197,36.95896891284979,Monsoon,Semi-Auto,3.9,6.24,10.64,3728.05
North,PSC,312,0.31,21,Accelerator,1.09,Accelerated,75.89513235780353,18,300,Slab,17.381116963091017,50.6392824360356,Winter,Manual,3.7,4.0,8.2,3526.71
North,PSC,389,0.47,19,HRWR,0.53,Accelerated,72.15466538173159,22,250,Slab,27.779776185807794,76.95684721776544,Monsoon,Fully-Auto,3.3,5.1,8.9,3928.02
